Malzeme Grubu;;;;Kategori;;;;;;Yapay zekaya sorgulatıp yorumlatılacak algoritmalar;;;;;;;;
;;;;;;;;;Birim Fiyat;;;;;;;;;
;;;;;;;;;Birim Fiyat;;;;;;;;;
;;;;;Net Satış Miktar;Net Satış Miktarı (Metre);Kdv Li Net Satış Tutar;Kdv Li Net Satış Dövizli Tutar;Birim Fiyat;;;;;;;;;
;;;;;959.226,72;1.003.701,12;575.332.012,44;2.933.594,05;113.602.010,18;;;;;;;;;
AdaHome Amerikan Servis 4 lü Set;;;;AdaHome Amerikan Servis 4 lü Set;734,00;734,00;234.853,71;2.588,61;175.442,62;Malezeme grubu AdaHome Amerikan Servis olan hücrenin Net Satış Miktarı 5 den az is: Amerikan servislerimizi neden satmıyorsunuz ? Bu ürünleri satmak için size birkaç önerimiz var……;;;;;;;;
AdaHome Amerikan Servis 4 lü Set Özel Tasarım;;;;AdaHome Amerikan Servis 4 lü Set Özel Tasarım;9,00;9,00;4.644,58;14,00;3.681,65;;;;;;;;;
AdaHome Amerikan Servis 4 lü Set Yılbaşı;;;;AdaHome Amerikan Servis 4 lü Set Yılbaşı;87,00;87,00;31.666,29;91,20;22.330,45;;;;;;;;;
AdaHome Çam Eteği Yılbaşı;;;;AdaHome Çam Eteği Yılbaşı;570,00;570,00;207.402,69;17,00;134.008,01;;;;;;;;;
AdaHome Dolgulu Yastık Fırfırlı;;;;AdaHome Dolgulu Yastık Fırfırlı;7.626,00;7.626,00;2.585.391,94;12.599,55;1.460.515,46;AdaHome Dolgulu yastık ürünlerinin satış miktarları 10 dan az ise şunlar bunlar yapılmalı…..AdaHome Yastık Kılıfı alarak nakliyeden tasarruf edeceğinizi biliyormusunuz…..;;;;;;;;
AdaHome Dolgulu Yastık Fırfırlı Özel Tasarım;;;;AdaHome Dolgulu Yastık Fırfırlı Özel Tasarım;1.512,00;1.512,00;569.109,40;10.097,55;83.910,63;;;;;;;;;
AdaHome Dolgulu Yastık Fırfırlı Yılbaşı;;;;AdaHome Dolgulu Yastık Fırfırlı Yılbaşı;335,00;335,00;124.976,74;10,00;51.484,47;;;;;;;;;
AdaHome Yastık Kılıfı Fırfırlı;;;;AdaHome Yastık Kılıfı Fırfırlı;1.074,00;1.074,00;248.157,69;7.561,79;60.896,98;;;;;;;;;
AdaHome Yastık Kılıfı Fırfırlı Özel Tasarım ;;;;AdaHome Yastık Kılıfı Fırfırlı Özel Tasarım;30,00;30,00;11.570,56;171,00;5.833,44;;;;;;;;;
AdaHome Döşemelik Kumaşlar;;;;AdaHome Döşemelik Kumaşlar;162,80;162,80;71.298,18;0;8.446,74;AdaHome Döşemelik kumaş eğer net satış miktarı 10 metreden az ise, 4 farklı döşemelik el kartelamız var bu kartelalar mağzanızda var. Gelen müşterilere size döşemelik kumaş olduğunuda söylüyormusunuz ?;;;;;;;;
AdaHome Kumaş Baskılı Blackout;;;;AdaHome Kumaş Baskılı Blackout;549,01;549,01;294.410,47;2.042,00;70.862,31;Net satış miktarı 10 dan az sa Baskılı Kumaşlarımızı neden satamıyorsunuz, İstediğiniz bir deseni 5 kumaş çeşidimizden herhangi bir kumaşımıza bastırıp ceket bile diktirebileceğinizi biliyormusunuz ?;;;;;;;;
AdaHome Kumaş Baskılı Blackout Özel Tasarım ;;;;AdaHome Kumaş Baskılı Blackout Özel Tasarım;160,52;160,52;90.322,69;120,17;24.034,23;;;;;;;;;
AdaHome Kumaş Baskılı İnce Keten;;;;AdaHome Kumaş Baskılı İnce Keten;73,50;73,50;34.287,78;402,82;7.911,56;;;;;;;;;
AdaHome Kumaş Baskılı İnce Keten Özel Tasarım ;;;;AdaHome Kumaş Baskılı İnce Keten Özel Tasarım;46,46;46,46;21.291,21;0;10.296,18;;;;;;;;;
AdaHome Kumaş Baskılı Kadife;;;;AdaHome Kumaş Baskılı Kadife;118,02;118,02;74.732,45;275,40;28.793,24;;;;;;;;;
AdaHome Kumaş Baskılı Kadife Kumaş Özel Tasarım;;;;AdaHome Kumaş Baskılı Kadife Kumaş Özel Tasarım;409,02;409,02;265.816,54;1.021,06;129.970,55;;;;;;;;;
AdaHome Kumaş Baskılı Keten Blackout;;;;AdaHome Kumaş Baskılı Keten Blackout;145,90;145,90;88.234,33;132,00;15.405,08;;;;;;;;;
AdaHome Kumaş Baskılı Keten Blackout Özel Tasarım;;;;AdaHome Kumaş Baskılı Keten Blackout Özel Tasarım;43,05;43,05;26.916,90;77,00;8.576,09;;;;;;;;;
AdaHome Kumaş Baskılı Süet;;;;AdaHome Kumaş Baskılı Süet;91,30;91,30;49.109,68;585,68;30.305,22;;;;;;;;;
AdaHome Kumaş Baskılı Süet Özel Tasarım ;;;;AdaHome Kumaş Baskılı Süet Özel Tasarım;155,14;155,14;92.655,90;0;37.276,65;;;;;;;;;
AdaHome Kumaş Döşeme İçin Özel Üretilen;;;;AdaHome Kumaş Döşeme İçin Özel Üretilen;410,28;410,28;193.662,26;47,85;172.014,98;;;;;;;;;
AdaHome Kumaş Renkli Blackout;;;;AdaHome Kumaş Renkli Blackout;3,20;3,20;1.586,24;0;1.676,14;;;;;;;;;
AdaHome Kumaş Renkli İnce Keten;;;;AdaHome Kumaş Renkli İnce Keten;811,65;811,65;257.727,89;124,50;10.666,52;;;;;;;;;
AdaHome Masa Örtüsü;;;;AdaHome Masa Örtüsü;467,00;467,00;175.837,27;1.296,84;139.124,80;;;;;;;;;
AdaHome Masa Örtüsü Özel Tasarım;;;;AdaHome Masa Örtüsü Özel Tasarım;30,00;30,00;14.428,05;56,15;14.637,75;;;;;;;;;
AdaHome Masa Örtüsü Yılbaşı;;;;AdaHome Masa Örtüsü Yılbaşı;93,00;93,00;42.044,75;30,40;30.775,75;;;;;;;;;
AdaHome Mobilya Madam Sandalye;;;;AdaHome Mobilya Madam Sandalye;193,00;193,00;746.652,40;4.371,36;675.690,96;;;;;;;;;
AdaHome Mobilya Madam Sandalye Özel Tasarım;;;;AdaHome Mobilya Madam Sandalye Özel Tasarım;12,00;12,00;64.570,00;0;46.450,00;;;;;;;;;
AdaHome Mobilya Ottoman Büyük Berjer;;;;AdaHome Mobilya Ottoman Büyük Berjer;28,00;28,00;149.798,76;823,64;95.305,52;;;;;;;;;
AdaHome Mobilya Ottoman Büyük Berjer Özel Tasarım;;;;AdaHome Mobilya Ottoman Büyük Berjer Özel Tasarım;8,00;8,00;44.770,00;0;30.700,00;;;;;;;;;
AdaHome Mobilya Ottoman Küçük Berjer;;;;AdaHome Mobilya Ottoman Küçük Berjer;13,00;13,00;59.975,74;580,83;38.932,98;;;;;;;;;
AdaHome Mobilya Ottoman Küçük Berjer Özel Tasarım;;;;AdaHome Mobilya Ottoman Küçük Berjer Özel Tasarım;28,00;28,00;130.056,44;708,74;66.841,24;;;;;;;;;
AdaHome Mobilya Yuvarlak Masa Kahve;;;;AdaHome Mobilya Yuvarlak Masa Kahve;20,00;20,00;70.122,39;325,80;64.432,39;;;;;;;;;
AdaHome Mobilya Yuvarlak Masa Siyah;;;;AdaHome Mobilya Yuvarlak Masa Siyah;28,00;28,00;97.807,70;521,39;70.899,06;;;;;;;;;
AdaHome Önlük;;;;AdaHome Önlük;510,00;510,00;151.725,55;2.094,80;93.566,68;;;;;;;;;
AdaHome Önlük Özel Tasarım;;;;AdaHome Önlük Özel Tasarım;21,00;21,00;8.683,25;0;5.032,89;;;;;;;;;
AdaHome Önlük Yılbaşı;;;;AdaHome Önlük Yılbaşı;68,00;68,00;22.518,22;50,90;18.578,75;;;;;;;;;
AdaHome Perde Aksesuarları;;;;AdaHome Perde Aksesuarları;110,80;110,80;25.018,84;58,55;11.340,67;;;;;;;;;
AdaHome Perde Baskılı Blackout;;;;AdaHome Perde Baskılı Blackout;211,50;211,50;142.848,49;1.931,34;45.786,70;Net satış miktarı 10 dan az sa Baskılı Perde Kumaşlarımızı neden satamıyorsunuz, Veranda kataloğumuzu müşterilerinize gösteriyormusunuz ? Orada bir baskılı perdelerimiz var bu kataloğumuz bu ürünlerin tanıtımı için kilit rol oynuyor, lütfen müşterilerinize Veranda ve AdaHome kataloglarını gösteriniz....;;;;;;;;
AdaHome Perde Baskılı Blackout Özel Tasarım;;;;AdaHome Perde Baskılı Blackout Özel Tasarım;51,50;51,50;37.441,60;0;10.660,35;;;;;;;;;
AdaHome Perde Baskılı İnce Keten;;;;AdaHome Perde Baskılı İnce Keten;92,75;92,75;32.400,27;700,92;8.517,10;;;;;;;;;
AdaHome Perde Baskılı İnce Keten Özel Tasarım;;;;AdaHome Perde Baskılı İnce Keten Özel Tasarım;1,55;1,55;0;0;0;;;;;;;;;
AdaHome Perde Baskılı Kadife;;;;AdaHome Perde Baskılı Kadife;312,04;312,04;240.193,78;1.537,27;78.393,43;;;;;;;;;
AdaHome Perde Baskılı Kadife Özel Tasarım;;;;AdaHome Perde Baskılı Kadife Özel Tasarım;8,52;8,52;6.943,04;0;2.921,42;;;;;;;;;
AdaHome Perde Baskılı Keten Blackout;;;;AdaHome Perde Baskılı Keten Blackout;290,84;290,84;170.751,71;1.485,26;52.529,31;;;;;;;;;
AdaHome Perde Baskılı Keten Blackout Özel Tasarım;;;;AdaHome Perde Baskılı Keten Blackout Özel Tasarım;32,73;32,73;24.727,67;76,80;11.170,53;;;;;;;;;
AdaHome Perde Baskılı Süet;;;;AdaHome Perde Baskılı Süet;1,68;1,68;910,26;30,24;541,82;;;;;;;;;
AdaHome Perde Baskılı Süet Özel Tasarım;;;;AdaHome Perde Baskılı Süet Özel Tasarım;1,80;1,80;935,58;0;472,52;;;;;;;;;
AdaHome Perde Renkli Blackout;;;;AdaHome Perde Renkli Blackout;21,24;21,24;11.082,85;0;4.375,03;;;;;;;;;
AdaHome Perde Renkli İnce Keten;;;;AdaHome Perde Renkli İnce Keten;53,77;53,77;29.904,60;0;6.394,98;;;;;;;;;
AdaHome Perde Renkli Keten Blackout;;;;AdaHome Perde Renkli Keten Blackout;569,99;569,99;259.411,72;240,82;57.211,61;;;;;;;;;
AdaHome Perde Tül;;;;AdaHome Perde Tül;394,07;394,07;112.776,72;442,50;13.647,87;;;;;;;;;
AdaHome Pleksi Tepsi 24x40;;;;AdaHome Pleksi Tepsi 24x40;166,00;166,00;103.910,48;1.170,43;76.057,28;;;;;;;;;
AdaHome Pleksi Tepsi 24x40 Özel Tasarım;;;;AdaHome Pleksi Tepsi 24x40 Özel Tasarım;16,00;16,00;11.962,79;103,50;9.648,99;;;;;;;;;
AdaHome Pleksi Tepsi 25x25;;;;AdaHome Pleksi Tepsi 25x25;420,00;420,00;222.789,00;2.041,75;134.616,14;;;;;;;;;
AdaHome Pleksi Tepsi 25x25 Özel Tasarım;;;;AdaHome Pleksi Tepsi 25x25 Özel Tasarım;7,00;7,00;5.157,20;38,00;3.864,30;;;;;;;;;
AdaHome Pleksi Tepsi 25x25 Yılbaşı;;;;AdaHome Pleksi Tepsi 25x25 Yılbaşı;26,00;26,00;14.296,71;4,00;9.549,31;;;;;;;;;
AdaHome Puf;;;;AdaHome Puf;1.688,00;1.688,00;1.805.540,39;9.971,92;1.306.821,46;;;;;;;;;
AdaHome Puf Ayaklı;;;;AdaHome Puf Ayaklı;559,00;559,00;692.285,36;1.790,75;366.786,26;;;;;;;;;
AdaHome Puf Ayaklı Özel Tasarım;;;;AdaHome Puf Ayaklı Özel Tasarım;77,00;77,00;105.451,84;539,99;54.073,26;;;;;;;;;
AdaHome Puf Özel Tasarım;;;;AdaHome Puf Özel Tasarım;159,00;159,00;179.409,63;352,84;103.458,69;;;;;;;;;
AdaHome Puf Tepsisi Kahve;;;;AdaHome Puf Tepsisi Kahve;121,00;121,00;82.697,83;366,57;52.679,09;;;;;;;;;
AdaHome Puf Tepsisi Siyah;;;;AdaHome Puf Tepsisi Siyah;113,00;113,00;78.386,50;326,57;46.011,84;;;;;;;;;
AdaHome Puf Yılbaşı;;;;AdaHome Puf Yılbaşı;111,00;111,00;123.709,87;15,00;85.465,37;;;;;;;;;
AdaHome Runner;;;;AdaHome Runner;621,00;621,00;84.152,70;688,35;60.285,59;;;;;;;;;
AdaHome Runner Özel Tasarım;;;;AdaHome Runner Özel Tasarım;38,00;38,00;8.600,27;0;6.056,15;;;;;;;;;
AdaHome Runner Yılbaşı;;;;AdaHome Runner Yılbaşı;127,00;127,00;21.664,63;23,00;11.765,15;;;;;;;;;
AdaHome Şezlong İskeleti;;;;AdaHome Şezlong İskeleti;711,00;711,00;739.651,23;2.258,42;239.389,89;;;;;;;;;
AdaHome Şezlong Kumaşı;;;;AdaHome Şezlong Kumaşı;1.070,00;1.070,00;303.302,69;782,40;193.558,76;;;;;;;;;
AdaHome Şezlong Kumaşı Dış Mekan Fileli;;;;AdaHome Şezlong Kumaşı Dış Mekan Fileli;14,00;14,00;4.889,39;4,00;4.388,70;;;;;;;;;
AdaHome Şezlong Kumaşı Özel Tasarım;;;;AdaHome Şezlong Kumaşı Özel Tasarım;28,00;28,00;10.733,99;0;3.358,17;;;;;;;;;
AdaHome Veranda&Adahome Katalog;;;;AdaHome Veranda&Adahome Katalog;134,00;134,00;135.655,35;2.473,92;82.774,75;;;;;;;;;
AdaHome Yastık Kılıfı Fırfırlı;;;;AdaHome Yastık Kılıfı Fırfırlı;1.074,00;1.074,00;248.157,69;7.561,79;60.896,98;;;;;;;;;
AdaHome Yastık Kılıfı Fırfırlı Özel Tasarım ;;;;AdaHome Yastık Kılıfı Fırfırlı Özel Tasarım;30,00;30,00;11.570,56;171,00;5.833,44;;;;;;;;;
Adapanel Akustik;;;;AdaPanel Akustik Katalog;54,00;54,00;34.053,16;682,23;13.646,95;;;;;;;;;
AdaPanel Led Bar;;;;AdaPanel Led Bar;984,00;984,00;322.849,70;4.983,45;24.421,28;;;;;;;;;
Adapanel MDF Akustik Katalog;;;;AdaPanel MDF Akustik Katalog;204,00;204,00;110.871,00;2.173,10;50.429,14;;;;;;;;;
Adapanel MDF Akustik Katalog;;;;Morek MDF Akustik Panel Katalog;40,00;40,00;64.044,98;2.000,00;3.136,01;;;;;;;;;
AdaPanel MDF Akustik Panel;;;;AdaPanel MDF Akustik Panel;69,00;69,00;267.788,34;7.203,16;69.821,16;;;;;;;;;
AdaPanel MDF Panel 200 Serisi (6 lı Paket);;;;AdaPanel MDF Panel 200 Serisi (6 lı Paket);197,00;197,00;341.980,78;4.835,95;76.266,13;;;;;;;;;
AdaPanel MDF Panel 300 Serisi (6 lı Paket);;;;AdaPanel MDF Panel 300 Serisi (6 lı Paket);138,00;138,00;224.782,15;3.050,16;52.919,13;;;;;;;;;
AdaPanel MDF Panel 500 Serisi (6 lı Paket);;;;AdaPanel MDF Panel 500 Serisi (6 lı Paket);338,00;338,00;526.590,54;10.150,62;91.731,19;;;;;;;;;
AdaPanel MDF Panel 900 Serisi (6 lı Paket);;;;AdaPanel MDF Panel 900 Serisi (6 lı Paket);170,00;170,00;292.201,04;4.487,84;49.558,59;;;;;;;;;
AdaPanel MDF S.T. Panel 500 Serisi (6 lı Paket);;;;AdaPanel MDF S.T. Panel 500 Serisi (6 lı Paket);445,00;445,00;998.386,71;8.122,26;207.166,24;;;;;;;;;
AdaPanel MDF S.T. Panel 900 Serisi (6 lı Paket);;;;AdaPanel MDF S.T. Panel 900 Serisi (6 lı Paket);99,00;99,00;227.993,44;1.795,04;56.271,38;;;;;;;;;
AdaPanel MS Polimer Yapıştırıcı;;;;AdaPanel MS Polimer Yapıştırıcı;26.018,00;26.018,00;2.267.932,10;18.095,06;50.091,35;;;;;;;;;
AdaPanel PS Çıta (Adetli Satış);;;;AdaPanel PS Çıta (Adetli Satış);9.281,00;9.281,00;610.629,64;10.636,50;2.661,50;;;;;;;;;
AdaPanel PS Çıta (Özel Üretim);;;;AdaPanel PS Çıta (Özel Üretim);1.593,60;1.593,60;53.741,47;358,58;305,04;;;;;;;;;
AdaPanel PS Köşe Çıta (Adetli Satış);;;;AdaPanel PS Köşe Çıta (Adetli Satış);336,00;336,00;19.056,41;102,16;625,08;;;;;;;;;
AdaPanel PS Köşe Çıta (Özel Üretim);;;;AdaPanel PS Köşe Çıta (Özel Üretim);352,80;352,80;8.533,65;28,81;120,52;;;;;;;;;
AdaPanel PS Panel 100 serisi (12 li Paket);;;;AdaPanel PS Panel 100 serisi (12 li Paket);5.156,00;14.436,80;9.884.857,75;61.497,58;1.696.279,35;;;;;;;;;
AdaPanel PS Panel 100 serisi (4 lü Paket);;;;AdaPanel PS Panel 100 serisi (4 lü Paket);2.114,00;5.919,20;1.376.334,59;6.625,13;296.659,96;;;;;;;;;
AdaPanel PS Panel 100 serisi (Özel Üretim);;;;AdaPanel PS Panel 100 serisi (Özel Üretim);29.778,02;29.778,02;1.731.058,10;405,09;4.434,95;;;;;;;;;
AdaPanel PS Panel 200 serisi (18 li Paket);;;;AdaPanel PS Panel 200 serisi (18 li Paket);3.940,00;11.032,00;10.690.561,83;77.617,56;2.794.605,67;;;;;;;;;
AdaPanel PS Panel 200 serisi (6 lı Paket);;;;AdaPanel PS Panel 200 serisi (6 lı Paket);3.094,00;8.663,20;2.888.324,17;19.468,13;769.893,11;;;;;;;;;
AdaPanel PS Panel 200 serisi (Özel Üretim);;;;AdaPanel PS Panel 200 serisi (Özel Üretim);21.188,00;21.188,00;1.596.221,50;3.329,31;5.031,26;;;;;;;;;
AdaPanel PS Panel 300 serisi (18 li Paket);;;;AdaPanel PS Panel 300 serisi (18 li Paket);2.166,00;6.064,80;5.917.101,27;47.690,25;1.528.191,22;;;;;;;;;
AdaPanel PS Panel 300 serisi (6 lı Paket);;;;AdaPanel PS Panel 300 serisi (6 lı Paket);1.570,00;4.396,00;1.496.349,67;9.840,93;421.131,08;;;;;;;;;
AdaPanel PS Panel 300 serisi (Özel Üretim);;;;AdaPanel PS Panel 300 serisi (Özel Üretim);6.248,13;6.248,13;449.694,95;0,12;2.725,82;;;;;;;;;
AdaPanel PS Panel 400 serisi (18 li Paket);;;;AdaPanel PS Panel 400 serisi (18 li Paket);4.027,00;11.275,60;11.450.522,79;51.207,33;3.047.151,47;;;;;;;;;
AdaPanel PS Panel 400 serisi (6 lı Paket);;;;AdaPanel PS Panel 400 serisi (6 lı Paket);2.641,00;7.394,80;2.658.277,10;9.757,51;720.414,93;;;;;;;;;
AdaPanel PS Panel 400 serisi (Özel Üretim);;;;AdaPanel PS Panel 400 serisi (Özel Üretim);9.770,36;9.770,36;740.001,97;100,98;3.697,92;;;;;;;;;
AdaPanel PS Panel Kapama 100 serisi (16 lı Paket);;;;AdaPanel PS Panel Kapama 100 serisi (16 lı Paket);130,00;130,00;219.696,47;3.042,43;100.648,60;;;;;;;;;
AdaPanel PS Panel Kapama 100 serisi (40 lı Paket);;;;AdaPanel PS Panel Kapama 100 serisi (40 lı Paket);28,00;28,00;82.556,47;537,70;67.050,53;;;;;;;;;
AdaPanel PS Panel Kapama 100 serisi (Özel Üretim);;;;AdaPanel PS Panel Kapama 100 serisi (Özel Üretim);750,40;750,40;25.722,44;630,00;336,52;;;;;;;;;
Adapanel PS Panel Katalog;;;;AdaPanel Morek Katalog;40,00;40,00;38.426,99;1.200,00;1.881,60;;;;;;;;;
Adapanel PS Panel Katalog;;;;AdaPanel Ps Katalog;1.160,00;1.160,00;336.998,63;5.204,60;101.382,97;;;;;;;;;
Adapanel PS Panel Katalog;;;;AdaPanel Süpürgelik ve Çıta Katalog;256,00;256,00;40.687,97;644,09;13.655,18;;;;;;;;;
Adapanel PS Panel Katalog;;;;AdaPanel Young Word Katalog;40,00;40,00;52.314,77;1.607,14;1.307,87;;;;;;;;;
AdaPanel PS Süpürgelik (Adetli Satış);;;;AdaPanel PS Süpürgelik (Adetli Satış);1.127,00;1.127,00;153.779,95;1.499,38;3.476,56;;;;;;;;;
AdaPanel PS Süpürgelik (Özel Üretim);;;;AdaPanel PS Süpürgelik (Özel Üretim);613,20;613,20;37.566,69;132,72;619,28;;;;;;;;;
Adawall Akustik Duvar Kağıdı;;;;Akustik;2.123,63;2.123,63;1.597.565,08;39.554,53;57.013,25;;;;;;;;;
Adawall Duvar Kağ. Katalog;;;;Duvar Kağıdı Katalog;10.878,00;10.878,00;8.664.748,87;118.605,07;3.088.408,93;;;;;;;;;
Adawall Duvar Kağ. Katalog;;;;Tekstil Katalog;40,00;40,00;103.200,16;3.015,00;5.085,22;;;;;;;;;
Adawall Duvar Kağıdı;;;;10.0 MTR;144.014,00;144.014,00;99.297.032,39;926.598,17;18.342.535,89;;;;;;;;;
Adawall Duvar Kağıdı;;;;15.6 MTR;473.477,00;473.477,00;370.434.931,21;1.099.441,53;68.298.930,14;;;;;;;;;
Adawall Duvar Kağıdı;;;;Açık Metre;4.252,00;4.252,00;278.589,44;5.708,06;82.000,44;;;;;;;;;
Adawall Duvar Kağıdı;;;;Numune Rulo;378,00;378,00;15.706,10;3,65;654,54;;;;;;;;;
AdaWall Duvar Kağıdı Ekipmanları;;;;Adawall Duvar Kağıdı Uygulama Tezgahı;367,00;367,00;795.621,98;137,41;269.035,73;;;;;;;;;
AdaWall Duvar Kağıdı Ekipmanları;;;;Ekipman;114,00;114,00;7.464,02;178,40;1.311,62;;;;;;;;;
Adawall Emboslu Tex.Kağıt;;;;Baskı Altı Emboslu Kağıt;86.098,20;86.098,20;4.374.930,75;54.725,77;7.813,54;;;;;;;;;
AdaWall Katalog Poster Ürünü NW;;;;AdaWall Katalog Dışı Poster Ürünü NW;7.889,00;7.889,00;2.313.344,28;37.682,27;186.351,73;;;;;;;;;
AdaWall Katalog Poster Ürünü NW;;;;AdaWall Katalog Poster Ürünü NW;19.655,90;19.655,90;6.337.492,20;109.203,77;585.249,96;;;;;;;;;
AdaWall Katalog Poster Ürünü TEKSTİL;;;;AdaWall Katalog Dışı Poster Ürünü TEKSTİL;2.872,25;2.872,25;761.305,06;472,96;100.764,50;;;;;;;;;
AdaWall Katalog Poster Ürünü TEKSTİL;;;;AdaWall Katalog Poster Ürünü TEKSTİL;6.365,60;6.365,60;2.024.966,69;6.030,83;235.905,63;;;;;;;;;
Adawall Tutkal;;;;1 Kğ;563,00;563,00;108.358,51;505,00;8.631,21;;;;;;;;;
Adawall Tutkal;;;;200 Gram;30.820,00;30.820,00;966.142,31;17.107,64;34.341,36;;;;;;;;;
Adawall Tutkal;;;;25 Kğ;795,00;795,00;1.997.253,16;0;552.782,72;;;;;;;;;
